epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.042,1.68827,1.79641,1.00013,0.33585,0.2535,0.23382,0.13244,1.54977,1.19605,0.93134,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,192.029,1.64177,1.25748,0.94447,0.34272,0.28528,0.26499,0.14681,1.571,1.21532,0.92697,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,270.784,1.6774,1.24869,0.94801,0.36516,0.28719,0.2736,0.15308,1.56529,1.19391,0.93292,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,348.949,1.66217,1.23835,0.9468,0.3709,0.27778,0.26314,0.14759,1.6055,1.22277,0.93957,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,438.83,1.64544,1.19188,0.94011,0.40685,0.30711,0.29764,0.16584,1.52726,1.11814,0.93046,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,518.803,1.60908,1.1561,0.93219,0.39704,0.30964,0.3019,0.17162,1.50721,1.11444,0.92639,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,598.669,1.57528,1.12365,0.92405,0.42352,0.31959,0.31393,0.17906,1.46991,1.07583,0.91137,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,677.253,1.55014,1.10218,0.9218,0.44195,0.3307,0.32859,0.18916,1.47045,1.05693,0.91231,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,760.518,1.54318,1.08846,0.92036,0.43114,0.33189,0.32798,0.18953,1.45645,1.05264,0.90886,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,843.66,1.51903,1.06386,0.91318,0.43378,0.33987,0.33437,0.19254,1.44977,1.04192,0.90757,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,926.506,1.50716,1.05391,0.9098,0.44353,0.34175,0.33958,0.19617,1.43781,1.05192,0.90298,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1009.28,1.49629,1.03627,0.90729,0.46388,0.35177,0.35074,0.20376,1.41959,1.0155,0.89902,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1090.83,1.49261,1.03057,0.90635,0.45916,0.3441,0.34537,0.19867,1.42369,1.02288,0.89849,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1176.8,1.48093,1.01655,0.90206,0.45041,0.34974,0.3495,0.20046,1.41974,1.01014,0.8984,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1258.83,1.4602,1.00434,0.90134,0.47261,0.35549,0.35834,0.20838,1.40212,0.99317,0.89368,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1342.55,1.46311,0.99532,0.89761,0.45581,0.36942,0.36725,0.2108,1.40306,0.98999,0.89441,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1424.39,1.44813,0.98636,0.89765,0.45655,0.36509,0.36249,0.20993,1.40044,0.98806,0.89533,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1507.5,1.45963,0.98643,0.89567,0.47856,0.36335,0.3701,0.21532,1.38996,0.97564,0.89207,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1589.45,1.4473,0.97541,0.89444,0.48874,0.36206,0.37297,0.21881,1.39197,0.97328,0.89362,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1672.75,1.43117,0.96214,0.89253,0.47026,0.36533,0.3694,0.21505,1.39478,0.98096,0.89242,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1757.44,1.43208,0.95803,0.89196,0.47031,0.3693,0.37297,0.21743,1.37969,0.9733,0.89014,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1840.54,1.42817,0.94824,0.88757,0.47514,0.37229,0.37344,0.21764,1.37938,0.96809,0.8906,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1923.4,1.41966,0.94244,0.88823,0.48372,0.3736,0.37889,0.22082,1.37522,0.9629,0.8881,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2006.98,1.40769,0.93218,0.88577,0.48089,0.36941,0.37495,0.21813,1.37001,0.9617,0.88884,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2089.39,1.40947,0.93256,0.88628,0.48774,0.36687,0.37949,0.22124,1.37667,0.96138,0.88815,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2172.12,1.40913,0.92766,0.88343,0.50006,0.37245,0.38414,0.22294,1.36791,0.95525,0.88804,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2255.98,1.39655,0.91449,0.88215,0.49223,0.37414,0.38308,0.22446,1.36405,0.94948,0.88492,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2340.57,1.39359,0.91804,0.8829,0.49946,0.37569,0.38435,0.22408,1.36051,0.94772,0.88555,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2423.37,1.39569,0.91512,0.88331,0.50046,0.37406,0.38688,0.22722,1.35851,0.94459,0.88475,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2505.08,1.3841,0.90058,0.88025,0.49778,0.37588,0.38533,0.22631,1.35832,0.94145,0.88562,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2587.17,1.38103,0.90124,0.88075,0.49328,0.37161,0.3857,0.22411,1.36602,0.9461,0.88611,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2670.11,1.38639,0.89957,0.87942,0.50298,0.3794,0.38884,0.22798,1.36464,0.94462,0.88574,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2752.25,1.38097,0.89627,0.88079,0.49184,0.38059,0.3877,0.22778,1.35381,0.94063,0.88351,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2835.61,1.36405,0.87888,0.87814,0.49948,0.38082,0.3927,0.23121,1.34823,0.93537,0.88371,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2918.5,1.37085,0.8872,0.87751,0.49206,0.38452,0.39258,0.23113,1.35211,0.94177,0.88311,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3001.33,1.36567,0.87594,0.87517,0.50372,0.387,0.39439,0.23191,1.35053,0.93572,0.88279,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3086.57,1.36472,0.87239,0.87556,0.50787,0.38038,0.39451,0.2306,1.34894,0.9358,0.8828,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3171.51,1.36114,0.87214,0.87539,0.50208,0.38663,0.39846,0.23505,1.3459,0.93103,0.88056,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3254.55,1.35939,0.86985,0.87504,0.48735,0.39312,0.39606,0.23214,1.34337,0.93527,0.88128,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3337.63,1.3483,0.86021,0.87352,0.50175,0.37997,0.3948,0.23262,1.34627,0.93919,0.88074,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3419.01,1.34308,0.8575,0.87337,0.51344,0.37453,0.38934,0.22918,1.3455,0.93684,0.88155,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3500.86,1.3491,0.86046,0.87389,0.48964,0.38542,0.39518,0.23175,1.33993,0.93269,0.88023,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
